,0
174,0.0004378098528832197
175,-0.0010857621018658392
176,0.0011585340835154057
177,-0.0042506900208536536
178,0.004266000789357349
179,-0.004101680708117783
180,-0.0032378549803979695
181,-0.0013951679866295308
182,0.0011965167941525578
183,0.0051192369137424976
184,0.0006365146255120635
185,0.002801788621582091
186,-0.006171588029246777
187,-0.0001980881206691265
188,0.0028597387281479314
189,-0.0018708484421949834
190,-0.0007585181192553136
191,0.0031404922483488917
192,0.0011314421717543155
193,0.0019628217560239136
194,-0.0068091414868831635
195,-0.018045332748442888
196,-0.00028981236391700804
197,-0.0021577971056103706
198,0.0028876244323328137
199,0.0021318900398910046
200,0.008089418988674879
201,-0.002984230115544051
202,-0.005396472755819559
203,-0.001033080363413319
204,0.0031974910525605083
205,0.0028150262660346925
206,0.0015414032532135025
207,-0.0013385807978920639
208,-0.0037361634022090584
209,-0.00031149270944297314
210,0.000892581680091098
211,0.00336043955758214
212,0.005779145169071853
213,-0.00013214527280069888
214,0.0017403430538251996
215,-0.001646463351789862
216,-0.0007502413354814053
217,-0.0031907170778140426
218,-0.0017341365455649793
219,-0.0014992167707532644
220,0.0004124785455132951
221,-0.005095598520711064
222,-0.0007204644643934444
223,0.001743650995194912
224,-0.0013159664813429117
225,-0.0031032728802529164
226,-0.0037196283228695393
227,-0.0003690614830702543
228,-0.0032941015670076013
229,-0.00087563885608688
230,-0.0030479043489322066
231,0.005294090427923948
232,-0.0003458622049947735
233,0.0004366033826954663
234,0.006183405639603734
235,-0.0010666127491276711
236,0.0010597841755952686
237,0.001065569813363254
238,-0.00025383647880516946
239,-1.084379618987441e-05
240,-5.439826054498553e-06
241,-0.004616414895281196
242,0.0024481071159243584
243,0.0055853655794635415
244,0.0008100117556750774
245,-0.0006861054862383753
246,0.00016366969794034958
247,3.847645712085068e-05
248,-0.0006543014314956963
249,-0.0004138376888249695
250,0.0008357989863725379
251,-0.001606410020031035
252,0.00040931080002337694
253,-0.0016394463600590825
254,0.0013309438218129799
255,-0.006909886142238975
256,0.0043271242175251245
257,0.003247432643547654
258,-0.0003479135921224952
259,-0.0016119093706947751
260,0.0012190411216579378
261,-0.0017064384301193058
262,-0.0016726451431168243
263,0.0010378858132753521
264,-0.0006737059447914362
265,0.003917790134437382
266,-0.0021814891952089965
267,-0.00025824172189459205
268,-0.0012717751087620854
269,0.0017554552759975195
270,0.003470806870609522
271,0.001069433342308912
272,-0.0001271630171686411
273,0.000445891753770411
274,-0.0012365281290840358
275,0.008758793002925813
276,0.0033634401916060597
277,-0.005070381565019488
278,-0.0020665189949795604
279,-0.000635752861853689
280,-0.006864279275760055
281,-0.00019542069640010595
282,0.001844994316343218
283,0.002195176319219172
284,-0.0047952968161553144
285,9.465921903029084e-05
286,0.0002535255625844002
287,0.0018631965504027903
288,0.0023131321067921817
289,-0.0004232378560118377
290,-0.0006079241284169257
291,6.374076474457979e-05
292,2.894515637308359e-05
293,-0.001986359740840271
294,-0.0011199051514267921
295,0.0008346503745997325
296,-0.0012958795996382833
297,-0.00766043015755713
298,-0.0005689766258001328
299,0.005686604185029864
300,-0.00878901151008904
301,0.0028514002915471792
302,0.001215387019328773
303,0.00029976878431625664
